Book-Title,Book-Rating
1984,8.784722222222221
1st to Die: A Novel,7.711864406779661
2nd Chance,7.76
4 Blondes,5.653846153846154
84 Charing Cross Road,9.049180327868852
A Bend in the Road,7.461538461538462
A Case of Need,7.061728395061729
"A Child Called \It\"": One Child's Courage to Survive""",7.963235294117647
A Confederacy of Dunces (Evergreen Book),7.202898550724638
A Darkness More Than Night,7.4
A Fine Balance,8.142857142857142
A Heartbreaking Work of Staggering Genius,7.180555555555555
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),7.637254901960785
A Lesson Before Dying (Vintage Contemporaries (Paperback)),7.72289156626506
A Man Named Dave: A Story of Triumph and Forgiveness,8.05084745762712
A Man in Full,7.333333333333333
A Map of the World,7.025862068965517
A Painted House,7.398907103825136
A Patchwork Planet,7.293103448275862
A Prayer for Owen Meany,8.615384615384615
A Separate Peace,7.435483870967742
A Thousand Acres (Ballantine Reader's Circle),7.527027027027027
A Time to Kill,8.009345794392523
A Virtuous Woman (Oprah's Book Club (Paperback)),7.109090909090909
A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),8.20754716981132
A Walk to Remember,7.787878787878788
A Widow for One Year,7.755102040816326
A Wrinkle In Time,8.876543209876543
A Wrinkle in Time,8.614583333333334
A Year in Provence,7.986486486486487
ANGELA'S ASHES,8.360294117647058
About a Boy,7.861538461538461
About a Boy (Movie Tie-In),7.910714285714286
Absolute Power,7.634615384615385
"Ahab's Wife: Or, The Star-Gazer: A Novel",7.841269841269841
Airframe,7.465116279069767
All Around the Town,7.914285714285715
All I Really Need to Know,7.989247311827957
All That Remains (Kay Scarpetta Mysteries (Paperback)),8.031746031746032
Along Came a Spider (Alex Cross Novels),8.042372881355933
American Gods,8.013245033112582
American Psycho (Vintage Contemporaries),6.9818181818181815
Angela's Ashes (MMP) : A Memoir,8.0
Angela's Ashes: A Memoir,8.26530612244898
Angelas Ashes,7.849056603773585
Angels,7.564516129032258
Angels &amp; Demons,8.016129032258064
"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",7.967213114754099
Animal Dreams,7.970149253731344
Animal Farm,8.3
Anne Frank: The Diary of a Young Girl,8.721518987341772
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),8.878787878787879
"Artemis Fowl (Artemis Fowl, Book 1)",7.719626168224299
Ashes to Ashes,7.279411764705882
At Home in Mitford (The Mitford Years),7.788888888888889
Atlas Shrugged,8.253333333333334
Atonement : A Novel,7.626865671641791
B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),7.767441860465116
Back Roads,7.254901960784314
Back When We Were Grownups : A Novel (Ballantine Reader's Circle),7.117647058823529
Bag of Bones,7.956043956043956
Balzac and the Little Chinese Seamstress : A Novel,8.03076923076923
Basket Case,7.60377358490566
Bastard Out of Carolina,8.25925925925926
Beach Music,7.674157303370786
Bee Season: A Novel,7.5
Before I Say Good-Bye,7.593220338983051
Bel Canto: A Novel,8.150943396226415
Beloved,7.306666666666667
Beloved (Plume Contemporary Fiction),7.772151898734177
Big Stone Gap: A Novel (Ballantine Reader's Circle),7.5
Big Trouble,7.336734693877551
Birthright,7.981132075471698
Black House,7.617647058823529
